Module,Path,baseline,node22,node20,node18,bun,deno,workerd,wranglerV3,wranglerUnenv
*globals*,Math.PI,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.SQRT1_2,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.SQRT2,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.abs,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.acos,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.acosh,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.asin,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.asinh,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.atan,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.atan2,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.atanh,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.cbrt,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.ceil,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.clz32,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.cos,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.cosh,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.exp,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.expm1,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.floor,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.fround,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.hypot,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.imul,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.log,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.log10,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.log1p,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.log2,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.max,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.min,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.pow,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.random,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.round,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.sign,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.sin,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.sinh,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.sqrt,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.tan,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,Math.tanh,supported,supported,supported,supported,supported,supported,supported,supported,supported
